alexnet_num-12100 top1:0.5702479338842975, top5:0.7961157024793388, time cost: 0.6857907772064209s
alexnet_num-12200 top1:0.5709016393442623, top5:0.7959836065573771, time cost: 0.6702775955200195s
alexnet_num-12300 top1:0.5707317073170731, top5:0.7965853658536586, time cost: 0.7017028331756592s
alexnet_num-12400 top1:0.5708870967741936, top5:0.7970967741935484, time cost: 0.632850170135498s
alexnet_num-12500 top1:0.57144, top5:0.79736, time cost: 0.6192610263824463s
alexnet_num-12600 top1:0.5714285714285714, top5:0.797063492063492, time cost: 0.7268939018249512s
alexnet_num-12700 top1:0.5716535433070866, top5:0.7966929133858268, time cost: 0.5882999897003174s
alexnet_num-12800 top1:0.57140625, top5:0.796953125, time cost: 0.5967168807983398s
alexnet_num-12900 top1:0.5710077519379845, top5:0.7966666666666666, time cost: 0.6323049068450928s
alexnet_num-13000 top1:0.5713846153846154, top5:0.7966153846153846, time cost: 0.5927507877349854s
alexnet_num-13100 top1:0.5713740458015267, top5:0.7962595419847328, time cost: 0.6126747131347656s
alexnet_num-13200 top1:0.5704545454545454, top5:0.7961363636363636, time cost: 0.5837702751159668s
alexnet_num-13300 top1:0.5699248120300752, top5:0.7957142857142857, time cost: 0.6176326274871826s
alexnet_num-13400 top1:0.5702238805970149, top5:0.7955223880597015, time cost: 0.5864870548248291s
alexnet_num-13500 top1:0.5697037037037037, top5:0.7952592592592592, time cost: 0.7662558555603027s
alexnet_num-13600 top1:0.5697794117647059, top5:0.7951470588235294, time cost: 0.6892695426940918s
alexnet_num-13700 top1:0.5691240875912409, top5:0.7945985401459854, time cost: 0.6140894889831543s
alexnet_num-13800 top1:0.5688405797101449, top5:0.7942753623188405, time cost: 0.6022412776947021s
alexnet_num-13900 top1:0.5690647482014388, top5:0.7941726618705036, time cost: 0.6873779296875s
alexnet_num-14000 top1:0.5692142857142857, top5:0.7945714285714286, time cost: 0.5993735790252686s
alexnet_num-14100 top1:0.5695744680851064, top5:0.7947517730496454, time cost: 0.7007129192352295s
alexnet_num-14200 top1:0.5695070422535211, top5:0.7947887323943662, time cost: 0.5955660343170166s
alexnet_num-14300 top1:0.5695104895104895, top5:0.7945454545454546, time cost: 0.6315288543701172s
alexnet_num-14400 top1:0.569375, top5:0.7940972222222222, time cost: 0.6666712760925293s
alexnet_num-14500 top1:0.5688275862068966, top5:0.7933103448275862, time cost: 0.5846927165985107s
alexnet_num-14600 top1:0.5685616438356165, top5:0.7931506849315069, time cost: 0.6211636066436768s
alexnet_num-14700 top1:0.5689795918367347, top5:0.7931972789115647, time cost: 0.6297938823699951s
alexnet_num-14800 top1:0.5685810810810811, top5:0.7931081081081081, time cost: 0.5829653739929199s
alexnet_num-14900 top1:0.568255033557047, top5:0.793020134228188, time cost: 0.6739873886108398s
alexnet_num-15000 top1:0.5682666666666667, top5:0.7929333333333334, time cost: 0.630225419998169s
alexnet_num-15100 top1:0.5682781456953643, top5:0.793046357615894, time cost: 0.5939476490020752s
alexnet_num-15200 top1:0.5681578947368421, top5:0.7928947368421052, time cost: 0.6342463493347168s
