squeezenetv1.0_num-22000 top1:0.5745454545454546, top5:0.7977272727272727, time cost: 0.5798971652984619s
squeezenetv1.0_num-22100 top1:0.5745248868778281, top5:0.7977828054298642, time cost: 0.5754086971282959s
squeezenetv1.0_num-22200 top1:0.5742792792792792, top5:0.7976576576576576, time cost: 0.5611655712127686s
squeezenetv1.0_num-22300 top1:0.5739013452914798, top5:0.7974887892376682, time cost: 0.562373161315918s
squeezenetv1.0_num-22400 top1:0.5739732142857142, top5:0.7975892857142857, time cost: 0.5870938301086426s
squeezenetv1.0_num-22500 top1:0.5736, top5:0.7976444444444445, time cost: 0.7366218566894531s
squeezenetv1.0_num-22600 top1:0.5736725663716814, top5:0.7976548672566371, time cost: 0.6386919021606445s
squeezenetv1.0_num-22700 top1:0.5732599118942732, top5:0.7973568281938326, time cost: 0.6222624778747559s
squeezenetv1.0_num-22800 top1:0.5734649122807017, top5:0.7973245614035088, time cost: 0.566185712814331s
squeezenetv1.0_num-22900 top1:0.5734061135371179, top5:0.7972489082969433, time cost: 0.5942378044128418s
squeezenetv1.0_num-23000 top1:0.5732173913043478, top5:0.7972173913043479, time cost: 0.6152775287628174s
squeezenetv1.0_num-23100 top1:0.5730735930735931, top5:0.796969696969697, time cost: 0.6235823631286621s
squeezenetv1.0_num-23200 top1:0.5729741379310345, top5:0.796853448275862, time cost: 0.6537129878997803s
squeezenetv1.0_num-23300 top1:0.5730472103004292, top5:0.7967811158798284, time cost: 0.6349070072174072s
squeezenetv1.0_num-23400 top1:0.573076923076923, top5:0.7968803418803418, time cost: 0.581641435623169s
squeezenetv1.0_num-23500 top1:0.5730212765957446, top5:0.7970212765957447, time cost: 0.6204380989074707s
squeezenetv1.0_num-23600 top1:0.5728813559322034, top5:0.7968220338983051, time cost: 0.5933964252471924s
squeezenetv1.0_num-23700 top1:0.5726582278481013, top5:0.7967932489451477, time cost: 0.5900406837463379s
squeezenetv1.0_num-23800 top1:0.5727310924369748, top5:0.796890756302521, time cost: 0.6174526214599609s
squeezenetv1.0_num-23900 top1:0.5726359832635983, top5:0.7968200836820084, time cost: 0.5707135200500488s
squeezenetv1.0_num-24000 top1:0.5722083333333333, top5:0.7964166666666667, time cost: 0.5700802803039551s
squeezenetv1.0_num-24100 top1:0.5721576763485478, top5:0.7964315352697096, time cost: 0.6464951038360596s
squeezenetv1.0_num-24200 top1:0.5722727272727273, top5:0.7966115702479338, time cost: 0.5971996784210205s
squeezenetv1.0_num-24300 top1:0.5723868312757202, top5:0.7965843621399177, time cost: 0.6113119125366211s
squeezenetv1.0_num-24400 top1:0.5725, top5:0.7966803278688525, time cost: 0.6990454196929932s
squeezenetv1.0_num-24500 top1:0.5721224489795919, top5:0.7964897959183673, time cost: 0.5834541320800781s
squeezenetv1.0_num-24600 top1:0.5723983739837398, top5:0.7966666666666666, time cost: 0.5853714942932129s
squeezenetv1.0_num-24700 top1:0.5725101214574899, top5:0.7967611336032389, time cost: 0.5850706100463867s
squeezenetv1.0_num-24800 top1:0.5725, top5:0.796733870967742, time cost: 0.5765724182128906s
squeezenetv1.0_num-24900 top1:0.5723293172690763, top5:0.7968273092369478, time cost: 0.5758581161499023s
squeezenetv1.0_num-25000 top1:0.57216, top5:0.79676, time cost: 0.6097872257232666s
squeezenetv1.0_num-25100 top1:0.5720717131474103, top5:0.7966932270916335, time cost: 0.5782310962677002s
squeezenetv1.0_num-25200 top1:0.5720238095238095, top5:0.7967857142857143, time cost: 0.5932910442352295s
squeezenetv1.0_num-25300 top1:0.5718181818181818, top5:0.7965217391304348, time cost: 0.578474760055542s
squeezenetv1.0_num-25400 top1:0.5718110236220473, top5:0.7965748031496063, time cost: 0.6734802722930908s
squeezenetv1.0_num-25500 top1:0.5718039215686275, top5:0.7965882352941176, time cost: 0.6437909603118896s
squeezenetv1.0_num-25600 top1:0.57171875, top5:0.7966015625, time cost: 0.591238260269165s
squeezenetv1.0_num-25700 top1:0.5721011673151751, top5:0.7966536964980545, time cost: 0.5494520664215088s
squeezenetv1.0_num-25800 top1:0.5717054263565892, top5:0.7965116279069767, time cost: 0.5648610591888428s
squeezenetv1.0_num-25900 top1:0.5719691119691119, top5:0.7964092664092665, time cost: 0.59552001953125s
squeezenetv1.0_num-26000 top1:0.5719615384615384, top5:0.7965384615384615, time cost: 0.5895395278930664s
squeezenetv1.0_num-26100 top1:0.5717624521072797, top5:0.7966283524904214, time cost: 0.5687212944030762s
squeezenetv1.0_num-26200 top1:0.5715648854961832, top5:0.7966793893129771, time cost: 0.5580964088439941s
squeezenetv1.0_num-26300 top1:0.571596958174905, top5:0.7967680608365019, time cost: 0.5757639408111572s
squeezenetv1.0_num-26400 top1:0.5716666666666667, top5:0.7967045454545455, time cost: 0.5816695690155029s
squeezenetv1.0_num-26500 top1:0.572, top5:0.7967924528301886, time cost: 0.5633082389831543s
squeezenetv1.0_num-26600 top1:0.5720676691729323, top5:0.7968796992481203, time cost: 0.5781745910644531s
