Resnet50_num-19500 top1:0.7091794871794872, top5:0.8983076923076924, time cost: 2.9806978702545166s
Resnet50_num-19600 top1:0.7091836734693877, top5:0.8982142857142857, time cost: 2.0584628582000732s
Resnet50_num-19700 top1:0.7092893401015229, top5:0.8981218274111675, time cost: 2.5034568309783936s
Resnet50_num-19800 top1:0.7091414141414142, top5:0.897979797979798, time cost: 1.9889154434204102s
Resnet50_num-19900 top1:0.7087939698492463, top5:0.8978391959798995, time cost: 2.223435401916504s
Resnet50_num-20000 top1:0.70895, top5:0.8979, time cost: 2.2058467864990234s
Resnet50_num-20100 top1:0.7089552238805971, top5:0.8981094527363184, time cost: 1.9525611400604248s
Resnet50_num-20200 top1:0.7084158415841584, top5:0.8978217821782178, time cost: 2.2782609462738037s
Resnet50_num-20300 top1:0.7084236453201971, top5:0.8976354679802956, time cost: 2.0684499740600586s
Resnet50_num-20400 top1:0.7084803921568628, top5:0.8977450980392156, time cost: 2.013904333114624s
Resnet50_num-20500 top1:0.7085365853658536, top5:0.8977560975609756, time cost: 3.233603000640869s
Resnet50_num-20600 top1:0.7084466019417476, top5:0.8978155339805826, time cost: 1.9893906116485596s
Resnet50_num-20700 top1:0.7083574879227054, top5:0.8978260869565218, time cost: 2.1008119583129883s
Resnet50_num-20800 top1:0.7086538461538462, top5:0.8978846153846154, time cost: 2.176974296569824s
Resnet50_num-20900 top1:0.708755980861244, top5:0.8977990430622009, time cost: 1.9115219116210938s
Resnet50_num-21000 top1:0.7091428571428572, top5:0.8980476190476191, time cost: 2.078157424926758s
Resnet50_num-21100 top1:0.708909952606635, top5:0.8980568720379147, time cost: 1.9798393249511719s
Resnet50_num-21200 top1:0.7088207547169811, top5:0.898066037735849, time cost: 2.021084785461426s
Resnet50_num-21300 top1:0.7092488262910798, top5:0.898169014084507, time cost: 2.321699380874634s
Resnet50_num-21400 top1:0.709392523364486, top5:0.8982710280373831, time cost: 1.958374261856079s
Resnet50_num-21500 top1:0.7093488372093023, top5:0.8983720930232558, time cost: 1.980337381362915s
Resnet50_num-21600 top1:0.7093055555555555, top5:0.8985648148148148, time cost: 1.9599101543426514s
Resnet50_num-21700 top1:0.7094470046082949, top5:0.8987096774193548, time cost: 2.429591655731201s
Resnet50_num-21800 top1:0.7095412844036697, top5:0.8984862385321101, time cost: 2.138113021850586s
Resnet50_num-21900 top1:0.7098173515981735, top5:0.8985844748858447, time cost: 2.403687000274658s
Resnet50_num-22000 top1:0.7098636363636364, top5:0.8986818181818181, time cost: 2.091121196746826s
Resnet50_num-22100 top1:0.709683257918552, top5:0.8987330316742081, time cost: 2.13974666595459s
Resnet50_num-22200 top1:0.7098648648648649, top5:0.8987837837837838, time cost: 1.9091308116912842s
Resnet50_num-22300 top1:0.7096412556053812, top5:0.8987892376681614, time cost: 1.9613256454467773s
Resnet50_num-22400 top1:0.71, top5:0.8990625, time cost: 2.216097593307495s
Resnet50_num-22500 top1:0.7099555555555556, top5:0.8990222222222222, time cost: 3.9458670616149902s
Resnet50_num-22600 top1:0.71, top5:0.8989380530973451, time cost: 2.222325563430786s
Resnet50_num-22700 top1:0.7096916299559471, top5:0.8988986784140969, time cost: 2.2003936767578125s
Resnet50_num-22800 top1:0.7096052631578947, top5:0.8989473684210526, time cost: 2.0138325691223145s
Resnet50_num-22900 top1:0.7093449781659389, top5:0.8989082969432315, time cost: 1.9853260517120361s
Resnet50_num-23000 top1:0.7091304347826087, top5:0.8989565217391304, time cost: 2.1616575717926025s
Resnet50_num-23100 top1:0.7091774891774891, top5:0.8987445887445887, time cost: 2.105459690093994s
Resnet50_num-23200 top1:0.7090086206896552, top5:0.8984913793103448, time cost: 2.3641018867492676s
Resnet50_num-23300 top1:0.7089270386266094, top5:0.898412017167382, time cost: 2.3169193267822266s
Resnet50_num-23400 top1:0.7091025641025641, top5:0.8985470085470085, time cost: 2.105672836303711s
Resnet50_num-23500 top1:0.7094468085106383, top5:0.898595744680851, time cost: 2.135378122329712s
Resnet50_num-23600 top1:0.7096610169491525, top5:0.8986440677966102, time cost: 2.040111780166626s
Resnet50_num-23700 top1:0.7091983122362869, top5:0.8986497890295359, time cost: 2.018824815750122s
Resnet50_num-23800 top1:0.7092016806722689, top5:0.898781512605042, time cost: 2.435136079788208s
Resnet50_num-23900 top1:0.7090794979079498, top5:0.8987447698744769, time cost: 1.9903843402862549s
Resnet50_num-24000 top1:0.70875, top5:0.8985833333333333, time cost: 2.0054616928100586s
Resnet50_num-24100 top1:0.7087551867219917, top5:0.8983402489626556, time cost: 2.6048684120178223s
Resnet50_num-24200 top1:0.7087603305785124, top5:0.898305785123967, time cost: 2.002584218978882s
Resnet50_num-24300 top1:0.70880658436214, top5:0.8983950617283951, time cost: 2.6582138538360596s
Resnet50_num-24400 top1:0.7088934426229508, top5:0.8983196721311475, time cost: 3.141571283340454s
Resnet50_num-24500 top1:0.7085714285714285, top5:0.8982040816326531, time cost: 2.1018013954162598s
Resnet50_num-24600 top1:0.70869918699187, top5:0.8984146341463415, time cost: 2.0704216957092285s
Resnet50_num-24700 top1:0.7085425101214575, top5:0.8983805668016195, time cost: 2.176793336868286s
Resnet50_num-24800 top1:0.7086693548387096, top5:0.8985483870967742, time cost: 2.013596296310425s
Resnet50_num-24900 top1:0.7086345381526105, top5:0.8986345381526104, time cost: 2.143085241317749s
Resnet50_num-25000 top1:0.70856, top5:0.89864, time cost: 2.0716187953948975s
Resnet50_num-25100 top1:0.708605577689243, top5:0.8986454183266932, time cost: 2.0681097507476807s
Resnet50_num-25200 top1:0.7085714285714285, top5:0.8987301587301587, time cost: 2.314364433288574s
Resnet50_num-25300 top1:0.7083794466403162, top5:0.8986166007905139, time cost: 2.2186529636383057s
Resnet50_num-25400 top1:0.7087401574803149, top5:0.898740157480315, time cost: 2.99251651763916s
Resnet50_num-25500 top1:0.7089019607843138, top5:0.8985490196078432, time cost: 2.71221923828125s
Resnet50_num-25600 top1:0.7089453125, top5:0.8986328125, time cost: 1.970888614654541s
Resnet50_num-25700 top1:0.709260700389105, top5:0.8987937743190662, time cost: 1.9477181434631348s
Resnet50_num-25800 top1:0.709108527131783, top5:0.8987209302325582, time cost: 2.0346012115478516s
Resnet50_num-25900 top1:0.7091891891891892, top5:0.8987644787644787, time cost: 2.132075071334839s
Resnet50_num-26000 top1:0.7091923076923077, top5:0.8987307692307692, time cost: 2.165809392929077s
Resnet50_num-26100 top1:0.7091570881226054, top5:0.8987356321839081, time cost: 2.0262184143066406s
Resnet50_num-26200 top1:0.708969465648855, top5:0.8987404580152671, time cost: 2.026129722595215s
Resnet50_num-26300 top1:0.708745247148289, top5:0.898745247148289, time cost: 2.113764762878418s
Resnet50_num-26400 top1:0.7087878787878787, top5:0.8989393939393939, time cost: 2.0016558170318604s
Resnet50_num-26500 top1:0.7090188679245283, top5:0.8989811320754717, time cost: 1.9357507228851318s
Resnet50_num-26600 top1:0.7091729323308271, top5:0.8990601503759399, time cost: 2.0301947593688965s
Resnet50_num-26700 top1:0.7091760299625468, top5:0.8989887640449438, time cost: 2.1959333419799805s
Resnet50_num-26800 top1:0.7091791044776119, top5:0.8988059701492538, time cost: 3.0119922161102295s
Resnet50_num-26900 top1:0.7090334572490706, top5:0.8985501858736059, time cost: 1.992492914199829s
Resnet50_num-27000 top1:0.709037037037037, top5:0.8985185185185185, time cost: 2.187364101409912s
Resnet50_num-27100 top1:0.7088929889298893, top5:0.8983394833948339, time cost: 2.447524309158325s
Resnet50_num-27200 top1:0.7091176470588235, top5:0.8984558823529412, time cost: 2.0332119464874268s
Resnet50_num-27300 top1:0.709084249084249, top5:0.8983516483516484, time cost: 2.016601800918579s
Resnet50_num-27400 top1:0.709087591240876, top5:0.8984306569343066, time cost: 2.1169886589050293s
Resnet50_num-27500 top1:0.7089090909090909, top5:0.8982909090909091, time cost: 1.958580732345581s
Resnet50_num-27600 top1:0.7088768115942029, top5:0.8982608695652174, time cost: 2.1411616802215576s
Resnet50_num-27700 top1:0.7093140794223827, top5:0.8982671480144404, time cost: 2.5213167667388916s
Resnet50_num-27800 top1:0.7093525179856115, top5:0.8983093525179856, time cost: 2.161175489425659s
Resnet50_num-27900 top1:0.7092831541218638, top5:0.8983512544802867, time cost: 1.9289391040802002s
Resnet50_num-28000 top1:0.70925, top5:0.8984285714285715, time cost: 3.06022047996521s
Resnet50_num-28100 top1:0.7094306049822064, top5:0.8985053380782918, time cost: 3.3070192337036133s
Resnet50_num-28200 top1:0.7095035460992908, top5:0.8984751773049645, time cost: 1.9481465816497803s
Resnet50_num-28300 top1:0.7095759717314488, top5:0.8985512367491166, time cost: 1.926518201828003s
Resnet50_num-28400 top1:0.7097535211267606, top5:0.8986267605633803, time cost: 3.292614459991455s
Resnet50_num-28500 top1:0.709859649122807, top5:0.8987017543859649, time cost: 4.623261213302612s
Resnet50_num-28600 top1:0.7098601398601398, top5:0.8987412587412588, time cost: 2.910714626312256s
Resnet50_num-28700 top1:0.7098606271777004, top5:0.8986062717770035, time cost: 2.2572262287139893s
Resnet50_num-28800 top1:0.7101041666666666, top5:0.89875, time cost: 2.0781214237213135s
Resnet50_num-28900 top1:0.7100346020761246, top5:0.8986505190311419, time cost: 2.2384486198425293s
