mobilenetv2_num-14100 top1:0.7209219858156029, top5:0.9021985815602837, time cost: 4.08167290687561s
mobilenetv2_num-14200 top1:0.7206338028169014, top5:0.9022535211267606, time cost: 3.941502094268799s
mobilenetv2_num-14300 top1:0.7207692307692307, top5:0.902027972027972, time cost: 4.104346036911011s
mobilenetv2_num-14400 top1:0.720625, top5:0.9020833333333333, time cost: 4.208283185958862s
mobilenetv2_num-14500 top1:0.7202068965517241, top5:0.9018620689655172, time cost: 4.004395484924316s
mobilenetv2_num-14600 top1:0.7204109589041096, top5:0.901986301369863, time cost: 4.097197532653809s
mobilenetv2_num-14700 top1:0.7205442176870749, top5:0.9021088435374149, time cost: 3.9729840755462646s
mobilenetv2_num-14800 top1:0.720472972972973, top5:0.9021621621621622, time cost: 3.917905330657959s
mobilenetv2_num-14900 top1:0.7208724832214765, top5:0.9022147651006711, time cost: 4.078775882720947s
mobilenetv2_num-15000 top1:0.7206666666666667, top5:0.9018666666666667, time cost: 3.9614250659942627s
mobilenetv2_num-15100 top1:0.7206622516556291, top5:0.9019867549668874, time cost: 3.940119981765747s
mobilenetv2_num-15200 top1:0.7205263157894737, top5:0.9020394736842106, time cost: 4.03365159034729s
mobilenetv2_num-15300 top1:0.7205228758169935, top5:0.902156862745098, time cost: 3.9522972106933594s
mobilenetv2_num-15400 top1:0.7206493506493507, top5:0.9024025974025974, time cost: 3.935356378555298s
mobilenetv2_num-15500 top1:0.7208387096774194, top5:0.9023225806451612, time cost: 4.003198146820068s
mobilenetv2_num-15600 top1:0.7202564102564103, top5:0.9019230769230769, time cost: 3.989027976989746s
mobilenetv2_num-15700 top1:0.7203184713375796, top5:0.9019108280254777, time cost: 3.9768729209899902s
mobilenetv2_num-15800 top1:0.720379746835443, top5:0.9018987341772152, time cost: 4.024535417556763s
mobilenetv2_num-15900 top1:0.7202515723270441, top5:0.9016981132075472, time cost: 3.9882137775421143s
mobilenetv2_num-16000 top1:0.72075, top5:0.902125, time cost: 3.9548697471618652s
mobilenetv2_num-16100 top1:0.7204347826086956, top5:0.9018012422360249, time cost: 3.934645414352417s
mobilenetv2_num-16200 top1:0.7206172839506173, top5:0.9021604938271605, time cost: 4.003422021865845s
mobilenetv2_num-16300 top1:0.7204294478527608, top5:0.9020858895705521, time cost: 4.100507736206055s
mobilenetv2_num-16400 top1:0.7203658536585366, top5:0.9021951219512195, time cost: 3.9481899738311768s
mobilenetv2_num-16500 top1:0.72, top5:0.9019393939393939, time cost: 3.9556961059570312s
mobilenetv2_num-16600 top1:0.7201204819277108, top5:0.9022289156626506, time cost: 3.9541521072387695s
mobilenetv2_num-16700 top1:0.7201197604790419, top5:0.9023952095808383, time cost: 3.9768309593200684s
mobilenetv2_num-16800 top1:0.7199404761904762, top5:0.9024404761904762, time cost: 3.9706621170043945s
mobilenetv2_num-16900 top1:0.719585798816568, top5:0.9022485207100591, time cost: 3.9468789100646973s
mobilenetv2_num-17000 top1:0.72, top5:0.9025294117647059, time cost: 3.9710373878479004s
mobilenetv2_num-17100 top1:0.7201169590643275, top5:0.9025146198830409, time cost: 3.9660003185272217s
mobilenetv2_num-17200 top1:0.7202325581395349, top5:0.9025, time cost: 3.9721782207489014s
mobilenetv2_num-17300 top1:0.7205780346820809, top5:0.9027745664739885, time cost: 4.02384352684021s
mobilenetv2_num-17400 top1:0.7201724137931035, top5:0.9026436781609195, time cost: 4.005213022232056s
mobilenetv2_num-17500 top1:0.7204, top5:0.9025142857142857, time cost: 3.9726920127868652s
mobilenetv2_num-17600 top1:0.7202272727272727, top5:0.9025, time cost: 3.9935665130615234s
mobilenetv2_num-17700 top1:0.7200564971751412, top5:0.902316384180791, time cost: 4.110914468765259s
mobilenetv2_num-17800 top1:0.7201685393258427, top5:0.9023595505617977, time cost: 4.075567960739136s
mobilenetv2_num-17900 top1:0.7197765363128492, top5:0.9021229050279329, time cost: 4.263211250305176s
mobilenetv2_num-18000 top1:0.7196111111111111, top5:0.9021111111111111, time cost: 3.9258382320404053s
mobilenetv2_num-18100 top1:0.7191712707182321, top5:0.901988950276243, time cost: 4.006131172180176s
mobilenetv2_num-18200 top1:0.7193406593406594, top5:0.9022527472527473, time cost: 4.09389591217041s
mobilenetv2_num-18300 top1:0.7193989071038251, top5:0.9022950819672131, time cost: 4.084967613220215s
mobilenetv2_num-18400 top1:0.7188586956521739, top5:0.9019565217391304, time cost: 3.962266683578491s
mobilenetv2_num-18500 top1:0.7185945945945946, top5:0.902, time cost: 3.9085538387298584s
mobilenetv2_num-18600 top1:0.7181720430107527, top5:0.9022043010752688, time cost: 3.9500250816345215s
mobilenetv2_num-18700 top1:0.7180748663101604, top5:0.9020320855614973, time cost: 4.030893564224243s
mobilenetv2_num-18800 top1:0.7179787234042553, top5:0.9018617021276596, time cost: 3.962667226791382s
mobilenetv2_num-18900 top1:0.7173015873015873, top5:0.901957671957672, time cost: 3.952526569366455s
mobilenetv2_num-19000 top1:0.7175263157894737, top5:0.9018947368421053, time cost: 4.087400913238525s
mobilenetv2_num-19100 top1:0.7180104712041885, top5:0.902041884816754, time cost: 3.9119985103607178s
mobilenetv2_num-19200 top1:0.7179166666666666, top5:0.9020833333333333, time cost: 3.9423141479492188s
mobilenetv2_num-19300 top1:0.7174093264248704, top5:0.9020725388601036, time cost: 3.9544360637664795s
mobilenetv2_num-19400 top1:0.7171649484536082, top5:0.9019587628865979, time cost: 3.8769044876098633s
mobilenetv2_num-19500 top1:0.7173846153846154, top5:0.902, time cost: 4.194535255432129s
mobilenetv2_num-19600 top1:0.7175, top5:0.9020918367346938, time cost: 3.9529285430908203s
mobilenetv2_num-19700 top1:0.717258883248731, top5:0.9019289340101523, time cost: 3.992434501647949s
mobilenetv2_num-19800 top1:0.7171212121212122, top5:0.901969696969697, time cost: 3.952406406402588s
mobilenetv2_num-19900 top1:0.7167839195979899, top5:0.901859296482412, time cost: 4.010169506072998s
mobilenetv2_num-20000 top1:0.7169, top5:0.90205, time cost: 3.982257843017578s
mobilenetv2_num-20100 top1:0.7169651741293532, top5:0.9022388059701493, time cost: 3.9464950561523438s
mobilenetv2_num-20200 top1:0.7165841584158416, top5:0.901930693069307, time cost: 3.9713385105133057s
mobilenetv2_num-20300 top1:0.7164532019704434, top5:0.9019211822660098, time cost: 3.971921920776367s
mobilenetv2_num-20400 top1:0.716764705882353, top5:0.9020098039215686, time cost: 3.939577579498291s
mobilenetv2_num-20500 top1:0.7170731707317073, top5:0.9021951219512195, time cost: 4.0946855545043945s
mobilenetv2_num-20600 top1:0.717135922330097, top5:0.9023300970873787, time cost: 3.9443345069885254s
mobilenetv2_num-20700 top1:0.7172946859903382, top5:0.9023188405797101, time cost: 3.990985631942749s
