densenet169_num-14200 top1:0.7647183098591549, top5:0.9326760563380282, time cost: 3.015871524810791s
densenet169_num-14300 top1:0.7642657342657343, top5:0.9325174825174826, time cost: 3.0397117137908936s
densenet169_num-14400 top1:0.7641666666666667, top5:0.9325, time cost: 3.183241605758667s
densenet169_num-14500 top1:0.7635172413793103, top5:0.9320689655172414, time cost: 3.1260318756103516s
densenet169_num-14600 top1:0.7633561643835617, top5:0.931986301369863, time cost: 3.166653871536255s
densenet169_num-14700 top1:0.7636054421768708, top5:0.9320408163265306, time cost: 3.185135841369629s
densenet169_num-14800 top1:0.7635135135135135, top5:0.932027027027027, time cost: 3.1365230083465576s
densenet169_num-14900 top1:0.7638255033557046, top5:0.9319463087248322, time cost: 3.2363555431365967s
densenet169_num-15000 top1:0.7636, top5:0.9317333333333333, time cost: 3.191437244415283s
densenet169_num-15100 top1:0.7634437086092716, top5:0.9317218543046357, time cost: 3.1473498344421387s
densenet169_num-15200 top1:0.7634868421052632, top5:0.9317763157894737, time cost: 3.1872222423553467s
densenet169_num-15300 top1:0.7635294117647059, top5:0.9317647058823529, time cost: 3.1358346939086914s
densenet169_num-15400 top1:0.7635064935064935, top5:0.9318181818181818, time cost: 3.0131022930145264s
densenet169_num-15500 top1:0.7634193548387097, top5:0.9316774193548387, time cost: 3.0488991737365723s
densenet169_num-15600 top1:0.7633974358974359, top5:0.9316025641025641, time cost: 3.0409295558929443s
densenet169_num-15700 top1:0.7636305732484077, top5:0.9315923566878981, time cost: 3.0182671546936035s
densenet169_num-15800 top1:0.7631012658227848, top5:0.9315822784810126, time cost: 3.0663914680480957s
densenet169_num-15900 top1:0.7626415094339623, top5:0.9315723270440252, time cost: 2.99916934967041s
densenet169_num-16000 top1:0.763125, top5:0.9316875, time cost: 3.020232677459717s
densenet169_num-16100 top1:0.7630434782608696, top5:0.9314906832298137, time cost: 2.9992077350616455s
densenet169_num-16200 top1:0.7632098765432099, top5:0.9316666666666666, time cost: 2.9926340579986572s
