resnet152_num-25800 top1:0.7667054263565891, top5:0.9324031007751938, time cost: 2.8813087940216064s
resnet152_num-25900 top1:0.7667181467181468, top5:0.9322393822393822, time cost: 2.918346405029297s
resnet152_num-26000 top1:0.7667307692307692, top5:0.9323076923076923, time cost: 2.9036080837249756s
resnet152_num-26100 top1:0.7666283524904215, top5:0.9323754789272031, time cost: 2.8800742626190186s
resnet152_num-26200 top1:0.7666412213740458, top5:0.9324045801526718, time cost: 2.8729121685028076s
resnet152_num-26300 top1:0.7666539923954373, top5:0.9325095057034221, time cost: 2.876673460006714s
resnet152_num-26400 top1:0.7666666666666667, top5:0.9325757575757576, time cost: 2.8811254501342773s
resnet152_num-26500 top1:0.7669056603773585, top5:0.9326037735849056, time cost: 2.8576109409332275s
resnet152_num-26600 top1:0.7669548872180452, top5:0.9327067669172933, time cost: 2.8934106826782227s
resnet152_num-26700 top1:0.7667041198501873, top5:0.932621722846442, time cost: 2.91738224029541s
resnet152_num-26800 top1:0.7666417910447761, top5:0.9326492537313433, time cost: 2.9927978515625s
resnet152_num-26900 top1:0.7664684014869888, top5:0.9325650557620818, time cost: 2.8712217807769775s
resnet152_num-27000 top1:0.7665185185185185, top5:0.9324444444444444, time cost: 2.898469924926758s
resnet152_num-27100 top1:0.7663468634686347, top5:0.9323616236162362, time cost: 2.9177207946777344s
resnet152_num-27200 top1:0.7664338235294118, top5:0.9323897058823529, time cost: 2.887690544128418s
resnet152_num-27300 top1:0.7664102564102564, top5:0.9322710622710623, time cost: 2.88747501373291s
resnet152_num-27400 top1:0.7664598540145985, top5:0.9324087591240876, time cost: 2.899031639099121s
resnet152_num-27500 top1:0.7662909090909091, top5:0.9322545454545454, time cost: 2.8696091175079346s
resnet152_num-27600 top1:0.766268115942029, top5:0.9322826086956522, time cost: 2.9084889888763428s
resnet152_num-27700 top1:0.7664259927797834, top5:0.9324187725631768, time cost: 2.903547763824463s
resnet152_num-27800 top1:0.7664028776978418, top5:0.9323741007194245, time cost: 2.889493227005005s
resnet152_num-27900 top1:0.766415770609319, top5:0.9322222222222222, time cost: 2.8627543449401855s
resnet152_num-28000 top1:0.7664642857142857, top5:0.93225, time cost: 2.9723196029663086s
resnet152_num-28100 top1:0.7664768683274021, top5:0.9323131672597865, time cost: 3.021104097366333s
resnet152_num-28200 top1:0.7664539007092198, top5:0.9321631205673759, time cost: 2.8668408393859863s
resnet152_num-28300 top1:0.7666077738515901, top5:0.9320848056537102, time cost: 2.8594143390655518s
resnet152_num-28400 top1:0.7667957746478873, top5:0.9321126760563381, time cost: 2.9760167598724365s
resnet152_num-28500 top1:0.7669473684210526, top5:0.9322807017543859, time cost: 3.092851400375366s
resnet152_num-28600 top1:0.7667832167832168, top5:0.9322377622377622, time cost: 2.9608566761016846s
resnet152_num-28700 top1:0.766794425087108, top5:0.9321951219512196, time cost: 2.908200979232788s
resnet152_num-28800 top1:0.7669444444444444, top5:0.9322569444444444, time cost: 2.904052495956421s
resnet152_num-28900 top1:0.7668858131487889, top5:0.932318339100346, time cost: 2.9038050174713135s
resnet152_num-29000 top1:0.7667241379310344, top5:0.9321034482758621, time cost: 2.889775037765503s
resnet152_num-29100 top1:0.7664948453608248, top5:0.9320962199312715, time cost: 2.863293170928955s
resnet152_num-29200 top1:0.7663698630136986, top5:0.932054794520548, time cost: 2.8804311752319336s
resnet152_num-29300 top1:0.7665187713310581, top5:0.9321501706484642, time cost: 2.875171661376953s
resnet152_num-29400 top1:0.7665646258503401, top5:0.932108843537415, time cost: 2.892141580581665s
resnet152_num-29500 top1:0.7666101694915254, top5:0.9322033898305084, time cost: 2.898794651031494s
