Resnet50_num-17800 top1:0.7510674157303371, top5:0.9226404494382022, time cost: 1.393263816833496s
Resnet50_num-17900 top1:0.750949720670391, top5:0.9224581005586592, time cost: 1.52736234664917s
Resnet50_num-18000 top1:0.751, top5:0.9225, time cost: 1.2985565662384033s
Resnet50_num-18100 top1:0.7507182320441989, top5:0.9223756906077348, time cost: 1.3007392883300781s
Resnet50_num-18200 top1:0.751043956043956, top5:0.9225824175824175, time cost: 1.379185438156128s
Resnet50_num-18300 top1:0.7511475409836066, top5:0.9224590163934426, time cost: 1.3499023914337158s
Resnet50_num-18400 top1:0.7504347826086957, top5:0.9222826086956522, time cost: 1.322225570678711s
Resnet50_num-18500 top1:0.7502702702702703, top5:0.9223783783783783, time cost: 1.3177545070648193s
Resnet50_num-18600 top1:0.7499462365591398, top5:0.9223655913978495, time cost: 1.325272560119629s
Resnet50_num-18700 top1:0.7501069518716578, top5:0.9223529411764706, time cost: 1.374448537826538s
Resnet50_num-18800 top1:0.7501063829787235, top5:0.9223404255319149, time cost: 1.299325704574585s
Resnet50_num-18900 top1:0.7498412698412699, top5:0.9222222222222223, time cost: 1.3076269626617432s
Resnet50_num-19000 top1:0.7498421052631579, top5:0.9222631578947369, time cost: 1.4245924949645996s
Resnet50_num-19100 top1:0.7504188481675392, top5:0.9224607329842932, time cost: 1.3171977996826172s
Resnet50_num-19200 top1:0.7501041666666667, top5:0.92234375, time cost: 1.3428068161010742s
Resnet50_num-19300 top1:0.7499481865284974, top5:0.9223316062176166, time cost: 1.3629727363586426s
Resnet50_num-19400 top1:0.7497422680412371, top5:0.9222680412371134, time cost: 1.29270601272583s
Resnet50_num-19500 top1:0.7498461538461538, top5:0.9223076923076923, time cost: 1.4130914211273193s
Resnet50_num-19600 top1:0.75, top5:0.9223469387755102, time cost: 1.30979585647583s
Resnet50_num-19700 top1:0.7501015228426396, top5:0.9223350253807107, time cost: 1.3467082977294922s
Resnet50_num-19800 top1:0.7499494949494949, top5:0.9223232323232323, time cost: 1.3020827770233154s
Resnet50_num-19900 top1:0.749748743718593, top5:0.9221608040201005, time cost: 1.3426620960235596s
Resnet50_num-20000 top1:0.7497, top5:0.9221, time cost: 1.3376576900482178s
Resnet50_num-20100 top1:0.7498009950248756, top5:0.9222388059701493, time cost: 1.2992784976959229s
Resnet50_num-20200 top1:0.7493069306930693, top5:0.9220297029702971, time cost: 1.3267021179199219s
Resnet50_num-20300 top1:0.7494088669950739, top5:0.9219211822660098, time cost: 1.3065927028656006s
Resnet50_num-20400 top1:0.7495098039215686, top5:0.9219607843137255, time cost: 1.286633014678955s
Resnet50_num-20500 top1:0.7497073170731707, top5:0.9218536585365854, time cost: 1.425180435180664s
Resnet50_num-20600 top1:0.7499029126213592, top5:0.9219417475728156, time cost: 1.3002498149871826s
Resnet50_num-20700 top1:0.7498067632850242, top5:0.9219323671497585, time cost: 1.3296079635620117s
Resnet50_num-20800 top1:0.7500961538461538, top5:0.9220673076923077, time cost: 1.320199728012085s
Resnet50_num-20900 top1:0.7502870813397129, top5:0.9221052631578948, time cost: 1.2847657203674316s
Resnet50_num-21000 top1:0.7508571428571429, top5:0.9222857142857143, time cost: 1.321148157119751s
Resnet50_num-21100 top1:0.7509004739336493, top5:0.9221800947867299, time cost: 1.3021864891052246s
Resnet50_num-21200 top1:0.7507075471698114, top5:0.9221698113207547, time cost: 1.3014237880706787s
Resnet50_num-21300 top1:0.7508450704225352, top5:0.9223474178403755, time cost: 1.3535077571868896s
Resnet50_num-21400 top1:0.7507476635514019, top5:0.922429906542056, time cost: 1.294931411743164s
Resnet50_num-21500 top1:0.7510232558139535, top5:0.9224651162790698, time cost: 1.291691780090332s
Resnet50_num-21600 top1:0.7513425925925926, top5:0.9225, time cost: 1.2857873439788818s
Resnet50_num-21700 top1:0.7513824884792627, top5:0.9225345622119816, time cost: 1.3451383113861084s
Resnet50_num-21800 top1:0.7514220183486239, top5:0.9222477064220184, time cost: 1.315436840057373s
Resnet50_num-21900 top1:0.7514611872146119, top5:0.9222374429223744, time cost: 1.3405792713165283s
Resnet50_num-22000 top1:0.7514545454545455, top5:0.9222272727272727, time cost: 1.3091151714324951s
Resnet50_num-22100 top1:0.7513122171945701, top5:0.9222624434389141, time cost: 1.3051185607910156s
Resnet50_num-22200 top1:0.7514864864864865, top5:0.9223423423423424, time cost: 1.2904071807861328s
Resnet50_num-22300 top1:0.7513004484304933, top5:0.9223318385650224, time cost: 1.2976963520050049s
Resnet50_num-22400 top1:0.7512946428571429, top5:0.9226339285714286, time cost: 1.317537546157837s
Resnet50_num-22500 top1:0.7513333333333333, top5:0.9227111111111111, time cost: 1.4614481925964355s
Resnet50_num-22600 top1:0.7515044247787611, top5:0.9227433628318584, time cost: 1.3394324779510498s
Resnet50_num-22700 top1:0.751101321585903, top5:0.9227312775330396, time cost: 1.3373241424560547s
Resnet50_num-22800 top1:0.7512719298245614, top5:0.922719298245614, time cost: 1.3050568103790283s
Resnet50_num-22900 top1:0.7510917030567685, top5:0.9226200873362446, time cost: 1.3045904636383057s
Resnet50_num-23000 top1:0.7507826086956522, top5:0.9226521739130434, time cost: 1.321547031402588s
Resnet50_num-23100 top1:0.7507792207792208, top5:0.9225541125541126, time cost: 1.330476999282837s
Resnet50_num-23200 top1:0.7506896551724138, top5:0.9225862068965517, time cost: 1.3480420112609863s
Resnet50_num-23300 top1:0.7504291845493563, top5:0.922618025751073, time cost: 1.3551061153411865s
Resnet50_num-23400 top1:0.7506410256410256, top5:0.9226495726495727, time cost: 1.3161029815673828s
Resnet50_num-23500 top1:0.7509787234042553, top5:0.9227659574468086, time cost: 1.324233055114746s
Resnet50_num-23600 top1:0.7511864406779661, top5:0.9227966101694915, time cost: 1.3083879947662354s
Resnet50_num-23700 top1:0.750590717299578, top5:0.9227848101265823, time cost: 1.3205115795135498s
Resnet50_num-23800 top1:0.7509243697478991, top5:0.9227310924369748, time cost: 1.3461925983428955s
Resnet50_num-23900 top1:0.7508786610878662, top5:0.9226359832635983, time cost: 1.297398567199707s
Resnet50_num-24000 top1:0.750625, top5:0.9224166666666667, time cost: 1.2988381385803223s
Resnet50_num-24100 top1:0.7506224066390041, top5:0.9223236514522821, time cost: 1.3682794570922852s
Resnet50_num-24200 top1:0.7503719008264463, top5:0.9222727272727272, time cost: 1.3138923645019531s
Resnet50_num-24300 top1:0.7504526748971193, top5:0.9223456790123457, time cost: 1.3416352272033691s
Resnet50_num-24400 top1:0.7505327868852459, top5:0.9222540983606557, time cost: 1.4259741306304932s
Resnet50_num-24500 top1:0.7503265306122449, top5:0.9220408163265306, time cost: 1.309851884841919s
Resnet50_num-24600 top1:0.7504471544715448, top5:0.9222357723577236, time cost: 1.3195693492889404s
Resnet50_num-24700 top1:0.7504048582995951, top5:0.9222672064777327, time cost: 1.3157384395599365s
Resnet50_num-24800 top1:0.7505645161290323, top5:0.9222983870967741, time cost: 1.3071246147155762s
Resnet50_num-24900 top1:0.7505220883534136, top5:0.9224096385542169, time cost: 1.305312156677246s
Resnet50_num-25000 top1:0.75048, top5:0.92224, time cost: 1.3094172477722168s
Resnet50_num-25100 top1:0.7503585657370518, top5:0.9223107569721115, time cost: 1.294842004776001s
Resnet50_num-25200 top1:0.7502777777777778, top5:0.9223412698412699, time cost: 1.3255634307861328s
Resnet50_num-25300 top1:0.7503162055335968, top5:0.9222134387351779, time cost: 1.3266081809997559s
Resnet50_num-25400 top1:0.7506299212598425, top5:0.9223622047244094, time cost: 1.417013168334961s
Resnet50_num-25500 top1:0.7506666666666667, top5:0.9223529411764706, time cost: 1.3799636363983154s
Resnet50_num-25600 top1:0.7507421875, top5:0.9223828125, time cost: 1.303736686706543s
Resnet50_num-25700 top1:0.7508560311284047, top5:0.9224513618677043, time cost: 1.2833154201507568s
Resnet50_num-25800 top1:0.7504651162790698, top5:0.9224418604651162, time cost: 1.3055448532104492s
Resnet50_num-25900 top1:0.7506563706563707, top5:0.9224324324324324, time cost: 1.3386616706848145s
Resnet50_num-26000 top1:0.7506538461538461, top5:0.9224615384615384, time cost: 1.323059320449829s
Resnet50_num-26100 top1:0.7506130268199234, top5:0.9225670498084291, time cost: 1.306272029876709s
Resnet50_num-26200 top1:0.7505343511450382, top5:0.9226335877862596, time cost: 1.2939574718475342s
Resnet50_num-26300 top1:0.750532319391635, top5:0.922851711026616, time cost: 1.304610252380371s
Resnet50_num-26400 top1:0.7504924242424242, top5:0.9229166666666667, time cost: 1.3020915985107422s
Resnet50_num-26500 top1:0.750754716981132, top5:0.9230188679245283, time cost: 1.286881446838379s
Resnet50_num-26600 top1:0.7508646616541353, top5:0.9229323308270677, time cost: 1.317204475402832s
Resnet50_num-26700 top1:0.750561797752809, top5:0.9227715355805244, time cost: 1.3376471996307373s
Resnet50_num-26800 top1:0.750634328358209, top5:0.9227238805970149, time cost: 1.421739101409912s
Resnet50_num-26900 top1:0.7504460966542751, top5:0.9225278810408922, time cost: 1.2955009937286377s
Resnet50_num-27000 top1:0.7502962962962964, top5:0.9224074074074075, time cost: 1.3256170749664307s
Resnet50_num-27100 top1:0.7500369003690037, top5:0.9222878228782287, time cost: 1.3364710807800293s
Resnet50_num-27200 top1:0.7501470588235294, top5:0.9224264705882353, time cost: 1.3112475872039795s
Resnet50_num-27300 top1:0.7501098901098902, top5:0.9221978021978022, time cost: 1.3102171421051025s
Resnet50_num-27400 top1:0.750036496350365, top5:0.9222627737226278, time cost: 1.3154685497283936s
Resnet50_num-27500 top1:0.7500363636363636, top5:0.9222181818181818, time cost: 1.297057867050171s
Resnet50_num-27600 top1:0.7501086956521739, top5:0.9222101449275363, time cost: 1.3298683166503906s
Resnet50_num-27700 top1:0.7505054151624548, top5:0.9223826714801444, time cost: 1.3299169540405273s
Resnet50_num-27800 top1:0.7504676258992806, top5:0.9224100719424461, time cost: 1.3117289543151855s
Resnet50_num-27900 top1:0.7506093189964158, top5:0.9223297491039426, time cost: 1.286768913269043s
Resnet50_num-28000 top1:0.7506428571428572, top5:0.9222857142857143, time cost: 1.3934519290924072s
Resnet50_num-28100 top1:0.7508185053380783, top5:0.9222775800711743, time cost: 1.4394772052764893s
Resnet50_num-28200 top1:0.7508510638297873, top5:0.9221631205673759, time cost: 1.2910494804382324s
Resnet50_num-28300 top1:0.7509187279151943, top5:0.922190812720848, time cost: 1.2826502323150635s
Resnet50_num-28400 top1:0.7510915492957746, top5:0.9222535211267605, time cost: 1.409994125366211s
Resnet50_num-28500 top1:0.7512631578947369, top5:0.9223859649122808, time cost: 1.5154452323913574s
Resnet50_num-28600 top1:0.7511538461538462, top5:0.9225174825174826, time cost: 1.3848774433135986s
Resnet50_num-28700 top1:0.751184668989547, top5:0.922369337979094, time cost: 1.3349781036376953s
Resnet50_num-28800 top1:0.7512847222222222, top5:0.9224305555555555, time cost: 1.3259592056274414s
