inceptionv3_num-25400 top1:0.7918897637795276, top5:0.9492913385826771, time cost: 2.4270293712615967s
inceptionv3_num-25500 top1:0.791921568627451, top5:0.9493725490196079, time cost: 2.388615846633911s
inceptionv3_num-25600 top1:0.7921484375, top5:0.949375, time cost: 2.308288335800171s
inceptionv3_num-25700 top1:0.7923735408560312, top5:0.9494552529182879, time cost: 2.2957165241241455s
inceptionv3_num-25800 top1:0.7920542635658915, top5:0.9494186046511628, time cost: 2.3202643394470215s
inceptionv3_num-25900 top1:0.791969111969112, top5:0.9494208494208494, time cost: 2.3476192951202393s
inceptionv3_num-26000 top1:0.7919615384615385, top5:0.9494230769230769, time cost: 2.332477569580078s
inceptionv3_num-26100 top1:0.7920306513409962, top5:0.9495019157088123, time cost: 2.312626838684082s
inceptionv3_num-26200 top1:0.7919847328244275, top5:0.9495038167938932, time cost: 2.30000901222229s
inceptionv3_num-26300 top1:0.7920152091254753, top5:0.9496577946768061, time cost: 2.3161137104034424s
inceptionv3_num-26400 top1:0.791969696969697, top5:0.9496969696969697, time cost: 2.3117032051086426s
inceptionv3_num-26500 top1:0.7920754716981132, top5:0.9496981132075472, time cost: 2.2872846126556396s
inceptionv3_num-26600 top1:0.7921428571428571, top5:0.9496240601503759, time cost: 2.32651948928833s
inceptionv3_num-26700 top1:0.7919850187265918, top5:0.9494756554307117, time cost: 2.3485565185546875s
inceptionv3_num-26800 top1:0.791865671641791, top5:0.9493656716417911, time cost: 2.4386277198791504s
inceptionv3_num-26900 top1:0.791635687732342, top5:0.9492565055762082, time cost: 2.306608200073242s
inceptionv3_num-27000 top1:0.7914814814814815, top5:0.9491851851851851, time cost: 2.3366780281066895s
inceptionv3_num-27100 top1:0.791070110701107, top5:0.9491512915129151, time cost: 2.3502018451690674s
inceptionv3_num-27200 top1:0.7909926470588236, top5:0.9492279411764706, time cost: 2.321199417114258s
inceptionv3_num-27300 top1:0.790989010989011, top5:0.9491208791208792, time cost: 2.319640874862671s
inceptionv3_num-27400 top1:0.790912408759124, top5:0.9491970802919708, time cost: 2.328946828842163s
inceptionv3_num-27500 top1:0.7908, top5:0.9490909090909091, time cost: 2.305485963821411s
inceptionv3_num-27600 top1:0.7909057971014493, top5:0.9491666666666667, time cost: 2.3366751670837402s
inceptionv3_num-27700 top1:0.7911552346570397, top5:0.9491696750902527, time cost: 2.3342769145965576s
inceptionv3_num-27800 top1:0.7910791366906474, top5:0.9492805755395683, time cost: 2.320180892944336s
inceptionv3_num-27900 top1:0.7910035842293907, top5:0.9492114695340502, time cost: 2.2963078022003174s
inceptionv3_num-28000 top1:0.7911071428571429, top5:0.9492857142857143, time cost: 2.40571665763855s
